shape_id,shape_pt_lat,shape_pt_sequence,shape_pt_lon,shape_dist_traveled
001_1,35.911648,367,10.576656,7.2
001_1,35.91155,368,10.576746,7.21
001_1,35.91135,369,10.57692,7.24
001_1,35.911243,370,10.5770035,7.25
001_1,35.911133,371,10.577084,7.26
001_1,35.9109,372,10.577235,7.29
001_1,35.910683,373,10.577385,7.32
001_1,35.910572,374,10.577468,7.33
001_1,35.91046,375,10.577554,7.34
001_1,35.91025,376,10.577724,7.37
001_1,35.91014,377,10.577809,7.38
001_1,35.90992,378,10.577985,7.41
001_1,35.90981,379,10.578073,7.42
001_1,35.909588,380,10.57825,7.45
001_1,35.909386,381,10.578423,7.48
001_1,35.90928,382,10.578507,7.49
001_1,35.90918,383,10.578586,7.5
001_1,35.90898,384,10.578734,7.53
001_1,35.90889,385,10.578804,7.54
001_1,35.908722,386,10.578938,7.56
001_1,35.908638,387,10.579003,7.57
001_1,35.90849,388,10.579115,7.59
001_1,35.90843,389,10.579164,7.6
001_1,35.90838,390,10.579199,7.61
001_1,35.90833,391,10.579227,7.62
001_1,35.90837,392,10.579191,7.63
001_1,35.908287,393,10.579234,7.64
001_1,35.908157,394,10.579311,7.66
001_1,35.908,395,10.579407,7.68
001_1,35.907917,396,10.579464,7.69
001_1,35.90782,397,10.579526,7.7
001_1,35.907623,398,10.579658,7.72
001_1,35.907413,399,10.579787,7.75
001_1,35.907307,400,10.579852,7.76
001_1,35.9071,401,10.579982,7.79
001_1,35.90692,402,10.580114,7.81
001_1,35.906853,403,10.580178,7.82
001_1,35.9068,404,10.5802355,7.83
001_1,35.906704,405,10.580316,7.84
001_1,35.90662,406,10.580328,7.85
001_1,35.906498,407,10.580358,7.86
001_1,35.906338,408,10.580435,7.88
001_1,35.906235,409,10.580482,7.89
001_1,35.90602,410,10.580577,7.92
001_1,35.905907,411,10.580627,7.93
001_1,35.905655,412,10.580733,7.96
001_1,35.905388,413,10.580844,7.99
001_1,35.905132,414,10.580981,8.02
001_1,35.90501,415,10.58106,8.04
001_1,35.90478,416,10.581242,8.07
001_1,35.904667,417,10.581337,8.09
001_1,35.904453,418,10.581517,8.12
001_1,35.90436,419,10.581602,8.13
001_1,35.904205,420,10.581773,8.15
001_1,35.90406,421,10.581946,8.17
001_1,35.903927,422,10.582107,8.19
001_1,35.903805,423,10.582256,8.21
001_1,35.903683,424,10.582408,8.23
001_1,35.90363,425,10.582478,8.24
001_1,35.90356,426,10.582554,8.25
001_1,35.903446,427,10.582647,8.27
001_1,35.903366,428,10.582712,8.28
001_1,35.90319,429,10.582849,8.3
001_1,35.903,430,10.582992,8.32
001_1,35.9029,431,10.583071,8.33
